machine_key,machine,department,occurrence_count,open_events,close_status,severity_avg,severity_max,quality_risk_count,first_seen,last_seen
comexi_print,Comexi דפוס,דפוס,5,1,1,2.6,4,3,2026-06-24 16:50:00,2026-06-29 15:47:00
dalia,דליה,גימור,1,1,0,3.0,3,0,2026-07-05 12:33:00,2026-07-05 12:33:00
emboss,אמבוס,גימור,2,2,0,3.5,4,0,2026-06-30 10:42:00,2026-07-05 06:56:00
gloster,גלוסטר,ייצור,1,0,0,1.0,1,0,2026-06-25 12:18:00,2026-06-25 12:18:00
line_1,קו 1,אקסטרוזיה,1,0,0,1.0,1,0,2026-07-06 10:08:00,2026-07-06 10:08:00
line_11,קו 11,אקסטרוזיה,1,0,0,1.0,1,0,2026-06-28 19:05:00,2026-06-28 19:05:00
line_14,קו 14,אקסטרוזיה,1,0,1,0.0,0,0,2026-06-28 13:35:00,2026-06-28 13:35:00
line_2,קו 2,אקסטרוזיה,2,1,0,2.0,3,2,2026-06-29 08:12:00,2026-07-06 17:10:00
line_3,קו 3,אקסטרוזיה,9,3,1,1.7777777777777777,4,4,2026-06-24 10:07:00,2026-07-06 05:57:00
line_4,קו 4,אקסטרוזיה,5,0,2,1.8,3,5,2026-06-29 05:51:00,2026-06-30 13:11:00
line_5,קו 5,אקסטרוזיה,3,1,1,2.0,3,2,2026-06-29 17:32:00,2026-07-05 12:18:00
line_6,קו 6,אקסטרוזיה,2,0,2,3.0,3,1,2026-06-29 07:50:00,2026-06-29 11:56:00
line_7,קו 7,אקסטרוזיה,3,0,1,0.6666666666666666,1,1,2026-06-24 13:42:00,2026-06-28 09:13:00
line_8,קו 8,אקסטרוזיה,1,0,0,1.0,1,0,2026-06-30 06:27:18,2026-06-30 06:27:18
line_9_10,קווים 9-10,אקסטרוזיה,2,1,1,2.0,3,0,2026-06-24 06:01:00,2026-06-28 07:33:00
plasto_material,חומר פלסטו,חומר גלם,3,2,0,1.6666666666666667,3,2,2026-06-30 08:31:00,2026-07-06 10:22:00
printing,דפוס / פרינטקס,דפוס,2,0,1,2.0,3,2,2026-06-30 15:30:00,2026-07-06 07:59:00
silo_6,סילו 6,חומר גלם,1,1,0,3.0,3,1,2026-06-30 13:13:00,2026-06-30 13:13:00
slitter_1,סליטר 1,גימור,1,0,1,3.0,3,0,2026-06-30 09:03:00,2026-06-30 09:03:00
slitter_3,סליטר 3,גימור,1,1,0,3.0,3,0,2026-07-05 10:08:00,2026-07-05 10:08:00
treater,Treater / Corona,איכות/טיפול פני שטח,2,0,0,1.0,1,1,2026-07-05 21:27:00,2026-07-06 10:08:00
treater_3,Treater 3,איכות/טיפול פני שטח,1,0,0,1.0,1,1,2026-06-30 15:14:00,2026-06-30 15:14:00
treater_4,Treater 4,איכות/טיפול פני שטח,1,1,0,2.0,2,1,2026-06-30 15:14:00,2026-06-30 15:14:00
waterline,ווטרליין,תשתיות,2,1,0,2.0,3,0,2026-06-28 06:42:00,2026-06-28 07:21:00
